"","Barcode","block","g_alias","datePlant","dateMature","daysToMaturity","plantCount","hundredSeedWeight","podWseedWeight","seedWeight","meanSeedpPod","tenPodWeight","seedpPod1","seedpPod2","seedpPod3","seedpPod4","seedpPod5","seedpPod6","seedpPod7","seedpPod8","seedpPod9","seedpPod10","genotype","soilSample"
"1","113_3","1","3890",2022-10-06,"12/12/2022",67,20,5.59,276,186,12.7,9.39,13,13,12,11,12,13,13,14,12,14,"MBCt","Em1"
"2","143_4","3","3890",2022-10-06,"12/12/2022",67,18,6.39,326,220,13.5,12.12,15,14,15,13,13,13,12,14,14,12,"MBCt","Wn2"
"3","143_5","3","3890",2022-10-06,"12/12/2022",67,20,6.27,352,250,12.3,10.12,12,13,14,13,11,12,14,13,10,11,"MBCt","Wn2"
"4","149_4","1","3890",2022-10-06,"12/14/2022",69,20,6.34,300,194,12.6,12.59,14,13,12,14,14,14,14,10,14,7,"MBCt","En2"
"5","24_4","2","3890",2022-10-06,"12/14/2022",69,20,6.12,264,170,11.8,10.18,10,14,12,10,11,11,14,13,13,10,"MBCt","Es2"
"6","33_2","1","3890",2022-10-06,"12/14/2022",69,20,6.36,318,200,11.8,9.94,11,12,13,12,13,11,12,11,11,12,"MBCt","Es1"
"7","39_1","2","3890",2022-10-06,"12/14/2022",69,20,6.42,316,198,12.1,10.5,13,11,12,12,12,11,12,12,13,13,"MBCt","Es2"
"8","89_2","2","3890",2022-10-06,"12/12/2022",67,20,6.4,310,218,11.7,10.25,8,15,10,13,12,12,14,11,10,12,"MBCt","Wm1"
"9","164_1","1","CO6",2022-10-06,"12/29/2022",84,20,4.01,190,104,13,7,13,11,14,13,13,13,13,14,12,14,"MB14","En1"
"10","6_4","2","CO6",2022-10-06,"12/21/2022",76,12,4.09,144,70,12.2,6.3,13,12,13,11,12,12,11,12,13,13,"MB14","Es2"
"11","121_5","2","KPS1",2022-10-06,"12/16/2022",71,20,6.81,426,292,13.3,11.88,14,12,12,14,16,14,14,12,14,11,"MB13","Wm1"
"12","27_3","3","KPS1",2022-10-06,"12/14/2022",69,11,6.84,300,200,12.9,11.56,11,15,14,13,11,15,11,14,14,11,"MB13","Ws1"
"13","34_4","1","KPS1",2022-10-06,"12/14/2022",69,11,6.85,306,200,12.5,11.07,14,12,11,13,14,16,10,10,12,13,"MB13","Es1"
"14","151_4","2","KPS2",2022-10-06,"12/26/2022",81,20,6.22,180,98,13.1,12.49,13,12,14,12,12,14,14,13,13,14,"MB03","En2"
"15","49_2","1","KPS2",2022-10-06,"12/28/2022",83,13,6.41,88,40,11.9,10.31,13,12,12,11,12,12,13,11,12,11,"MB03","Es1"
"16","170_3","2","NM94",2022-10-06,"12/7/2022",62,20,5.53,244,128,9.9,7.66,11,10,8,11,12,12,10,8,10,7,"MB02","Wn1"
"17","45_2","3","NM94",2022-10-06,"12/14/2022",69,20,5.34,258,160,11,8.87,9,11,11,13,11,11,12,11,11,10,"MB02","Ws2"
"18","83_2","1","NM94",2022-10-06,"12/16/2022",71,17,5.51,220,144,11.7,8.8,12,11,11,12,11,12,13,13,10,12,"MB02","Em1"
"19","85_1","1","VI000020AY",2022-10-06,"12/19/2022",74,20,6.29,242,128,11.4,10.91,8,11,13,13,12,11,10,11,14,11,"MMC1","Em2"
"20","86_3","2","VI000020AY",2022-10-06,"12/19/2022",74,16,6.47,170,78,12.6,11.01,14,14,11,14,13,9,14,10,13,14,"MMC1","Em2"
"21","92_2","3","VI000020AY",2022-10-06,"12/23/2022",78,18,6.63,232,130,12,11.56,11,10,13,11,13,11,14,13,14,10,"MMC1","Wm1"
"22","129_1","1","VI000099AG",2022-10-06,"12/29/2022",84,19,4.54,54,26,13.3,9.09,14,12,14,13,14,13,13,13,13,14,"MMC2","En1"
"23","25_3","2","VI000099AG",2022-10-06,"12/23/2022",78,14,4.27,222,136,12.9,8.46,13,12,11,13,13,13,15,14,13,12,"MMC2","Ws1"
"24","45_1","3","VI000099AG",2022-10-06,"12/28/2022",83,20,4.37,224,134,13.7,9.32,13,13,13,14,14,14,14,14,15,13,"MMC2","Ws2"
"25","169_3","2","VI000105BG",2022-10-06,"12/19/2022",74,20,4.57,258,178,12.2,7.93,13,12,12,13,12,12,12,11,12,13,"MMC3","Wn1"
"26","177_2","1","VI000105BG",2022-10-06,"12/14/2022",69,20,4.48,276,198,11.9,7.49,11,12,12,12,12,12,12,12,10,14,"MMC3","En1"
"27","12_2","3","VI000164BG",2022-10-06,"12/19/2022",74,16,4.2,124,72,10.7,6.52,12,13,10,12,8,9,11,11,8,13,"MMC4","Ws1"
"28","182_5","2","VI000164BG",2022-10-06,"12/19/2022",74,20,4.21,148,96,12.3,6.05,12,12,14,12,11,12,13,12,13,12,"MMC4","En2"
"29","19_4","1","VI000164BG",2022-10-06,"12/23/2022",78,20,4.43,90,38,10.9,6.24,9,12,9,12,11,11,9,12,12,12,"MMC4","Es1"
"30","155_3","3","VI000170B-BR",2022-10-06,"12/21/2022",76,16,4.65,168,106,9.1,6.25,9,9,9,10,10,9,10,8,9,8,"MMC5","Wn1"
"31","168_5","2","VI000170B-BR",2022-10-06,"12/19/2022",74,20,4.61,236,170,12.3,7,14,14,11,14,11,10,14,13,12,10,"MMC5","En2"
